Airport_Code,Airport_Name
MCI,Kansas City International
MCO,Orlando International
MCW,Mason City Municipal
MDT,Harrisburg International
MDW,Chicago Midway International
MEI,Key Field
MEM,Memphis International
MFE,McAllen International
MFR,Rogue Valley International - Medford
MGM,Montgomery Regional
MGW,Morgantown Municipal Walter L Bill Hart Field
MHK,Manhattan Regional
MHT,Manchester Boston Regional
MIA,Miami International
MKE,General Mitchell International
MLB,Melbourne Orlando International
MLI,Quad Cities International
MLU,Monroe Regional
MOB,Mobile Regional
MOT,Minot International
MQT,Marquette Sawyer Regional
MRY,Monterey Regional
MSN,Dane County Regional-Truax Field
MSO,Missoula Montana
MSP,Minneapolis-St Paul International
MSY,Louis Armstrong New Orleans International
MTJ,Montrose Regional
MVY,Martha's Vineyard Airport
MYR,Myrtle Beach International
OAJ,Albert J Ellis
OAK,Oakland International
OGG,Kahului Airport
OKC,Okc Will Rogers International
OMA,Eppley Airfield
OME,Nome Airport
ONT,Ontario International
ORD,Chicago O'Hare International
ORF,Norfolk International
ORH,Worcester Regional
OTH,Southwest Oregon Regional
OTZ,Ralph Wien Memorial
PAE,Seattle Paine Field International
PBG,Plattsburgh International
PBI,Palm Beach International
PDX,Portland International
PGD,Punta Gorda Airport
PHF,Newport News/Williamsburg International
PHL,Philadelphia International
PHX,Phoenix Sky Harbor International
PIA,General Downing - Peoria International
PIB,Hattiesburg-Laurel Regional
PIE,St Pete Clearwater International
PIH,Pocatello Regional
PIR,Pierre Regional
PIT,Pittsburgh International
PLN,Pellston Regional Emmet County
PNS,Pensacola International
PPG,Pago Pago International
PQI,Presque Isle International
PRC,Prescott Regional Ernest A Love Field
PSC,Tri Cities
PSE,Mercedita
PSG,Petersburg James A Johnson
PSM,Portsmouth International at Pease
PSP,Palm Springs International
PVD,Rhode Island Tf Green International
PVU,Provo Municipal
PWM,Portland International Jetport
RAP,Rapid City Regional
RDD,Redding Regional
RDM,Roberts Field
RDU,Raleigh-Durham International
RFD,Chicago/Rockford International
RHI,Rhinelander/Oneida County
RIC,Richmond International
RIW,Central Wyoming Regional
RKS,Southwest Wyoming Regional
RNO,Reno/Tahoe International
ROA,Roanoke Blacksburg Regional
ROC,Frederick Douglass Grtr Rochester International
ROW,Roswell Air Center
RST,Rochester International
RSW,Southwest Florida International
SAF,Santa Fe Regional
SAN,San Diego International
SAT,San Antonio International
SAV,Savannah/Hilton Head International
SBA,Santa Barbara Municipal
SBN,South Bend International
SBP,San Luis Obispo County Regional
SCC,Deadhorse Airport
SCE,State College Regional
SCK,Stockton Metro
SDF,Louisville Muhammad Ali International
SEA,Seattle/Tacoma International
SFB,Orlando Sanford International
SFO,San Francisco International
SGF,Springfield-Branson National
SGU,St George Regional
SHR,Sheridan County
SHV,Shreveport Regional
SIT,Sitka Rocky Gutierrez
SJC,Norman Y. Mineta San Jose International
SJT,San Angelo Regional/Mathis Field
SJU,Luis Munoz Marin International
SLC,Salt Lake City International
SLN,Salina Regional
SMF,Sacramento International
SMX,Santa Maria Public/Capt. G. Allan Hancock Field
SNA,John Wayne Airport-Orange County
SPI,Abraham Lincoln Capital
SPN,Francisco C. Ada Saipan International
SPS,Sheppard AFB/Wichita Falls Municipal
SRQ,Sarasota/Bradenton International
STC,St. Cloud Regional
STL,St Louis Lambert International
STS,Charles M. Schulz - Sonoma County
STT,Cyril E King
STX,Henry E. Rohlsen
SUN,Friedman Memorial
SUX,Sioux Gateway Brig Gen Bud Day Field
SWF,New York Stewart International
SWO,Stillwater Regional
SYR,Syracuse Hancock International
TLH,Tallahassee International
TOL,Eugene F Kranz Toledo Express
TPA,Tampa International
TRI,Tri Cities
TTN,Trenton Mercer
TUL,Tulsa International
TUS,Tucson International
TVC,Cherry Capital
TWF,Joslin Field - Magic Valley Regional
TXK,Texarkana Regional-Webb Field
TYR,Tyler Pounds Regional
TYS,McGhee Tyson
USA,Concord Padgett Regional
VCT,Victoria Regional
VPS,Eglin AFB Destin Fort Walton Beach
VRB,Vero Beach Regional
WRG,Wrangell Airport
WYS,Yellowstone
XNA,Northwest Arkansas National
XWA,Williston Basin International
YAK,Yakutat Airport
YUM,Yuma MCAS/Yuma International
